,day_counter,0,1,2,3,4,5,6,7
2011-02-06,401,114,13,,,,,,
2011-02-07,402,114,13,,,,,,
2011-02-08,403,114,13,,,,,,
2011-02-09,404,113,13,,,,,,
2011-02-10,405,113,13,,,,,,
2011-02-11,406,113,13,,,,,,
2011-02-12,407,114,13,,,,,,
2011-02-13,408,115,13,,,,,,
2011-02-14,409,115,13,,,,,,
2011-02-15,410,115,13,,,,,,
2011-02-16,411,115,13,,,,,,
2011-02-17,412,116,13,,,,,,
2011-02-18,413,116,13,,,,,,
2011-02-19,414,118,11,,,,,,
2011-02-20,415,118,11,,,,,,
2011-02-21,416,118,11,,,,,,
2011-02-22,417,118,11,,,,,,
2011-02-23,418,118,11,,,,,,
2011-02-24,419,120,11,,,,,,
2011-02-25,420,120,11,,,,,,
2011-02-26,421,121,11,,,,,,
2011-02-27,422,121,11,,,,,,
2011-02-28,423,121,11,,,,,,
2011-03-01,424,121,11,,,,,,
2011-03-02,425,121,11,,,,,,
2011-03-03,426,121,11,,,,,,
2011-03-04,427,123,12,,,,,,
2011-03-05,428,123,12,,,,,,
2011-03-06,429,124,12,,,,,,
2011-03-07,430,124,12,,,,,,
2011-03-08,431,124,12,,,,,,
2011-03-09,432,124,12,,,,,,
2011-03-10,433,124,12,,,,,,
2011-03-11,434,123,12,,,,,,
2011-03-12,435,123,12,,,,,,
2011-03-13,436,123,12,,,,,,
2011-03-14,437,124,12,,,,,,
2011-03-15,438,124,12,,,,,,
2011-03-16,439,124,12,,,,,,
2011-03-17,440,124,12,,,,,,
2011-03-18,441,125,12,,,,,,
2011-03-19,442,125,12,,,,,,
2011-03-20,443,125,12,,,,,,
2011-03-21,444,125,12,,,,,,
2011-03-22,445,125,12,,,,,,
2011-03-23,446,125,12,,,,,,
2011-03-24,447,126,12,,,,,,
2011-03-25,448,126,12,,,,,,
2011-03-26,449,126,12,,,,,,
2011-03-27,450,126,12,,,,,,
2011-03-28,451,126,12,,,,,,
2011-03-29,452,129,12,,,,,,
2011-03-30,453,131,12,,,,,,
2011-03-31,454,132,12,,,,,,
2011-04-01,455,132,12,,,,,,
2011-04-02,456,132,12,,,,,,
2011-04-03,457,132,12,,,,,,
2011-04-04,458,132,12,,,,,,
2011-04-05,459,133,12,,,,,,
2011-04-06,460,134,12,,,,,,
2011-04-07,461,134,12,,,,,,
2011-04-08,462,134,12,,,,,,
2011-04-09,463,134,12,,,,,,
2011-04-10,464,135,12,,,,,,
2011-04-11,465,136,12,,,,,,
2011-04-12,466,136,12,,,,,,
2011-04-13,467,136,12,,,,,,
2011-04-14,468,136,12,,,,,,
2011-04-15,469,136,12,,,,,,
2011-04-16,470,136,12,,,,,,
2011-04-17,471,136,12,,,,,,
2011-04-18,472,136,12,,,,,,
2011-04-19,473,136,12,,,,,,
2011-04-20,474,136,12,,,,,,
2011-04-21,475,136,12,,,,,,
2011-04-22,476,136,12,,,,,,
2011-04-23,477,136,12,,,,,,
2011-04-24,478,136,12,,,,,,
2011-04-25,479,135,14,,,,,,
2011-04-26,480,135,14,,,,,,
2011-04-27,481,133,16,,,,,,
2011-04-28,482,133,16,,,,,,
2011-04-29,483,133,16,,,,,,
2011-04-30,484,133,16,,,,,,
2011-05-01,485,133,16,,,,,,
2011-05-02,486,134,16,,,,,,
2011-05-03,487,135,16,,,,,,
2011-05-04,488,136,16,,,,,,
2011-05-05,489,137,16,,,,,,
2011-05-06,490,138,16,,,,,,
2011-05-07,491,140,16,,,,,,
2011-05-08,492,140,16,,,,,,
2011-05-09,493,140,16,,,,,,
2011-05-10,494,141,16,,,,,,
2011-05-11,495,145,16,,,,,,
2011-05-12,496,145,16,,,,,,
2011-05-13,497,145,16,,,,,,
2011-05-14,498,144,16,,,,,,
2011-05-15,499,144,16,,,,,,
2011-05-16,500,146,16,,,,,,
2011-05-17,501,146,16,,,,,,
2011-05-18,502,145,16,,,,,,
2011-05-19,503,145,16,,,,,,
2011-05-20,504,144,16,,,,,,
2011-05-21,505,144,16,,,,,,
2011-05-22,506,144,16,,,,,,
2011-05-23,507,143,16,,,,,,
2011-05-24,508,144,17,,,,,,
2011-05-25,509,144,17,,,,,,
2011-05-26,510,144,17,,,,,,
2011-05-27,511,144,17,,,,,,
2011-05-28,512,144,17,,,,,,
2011-05-29,513,144,17,,,,,,
2011-05-30,514,145,17,,,,,,
2011-05-31,515,145,17,,,,,,
2011-06-01,516,145,17,,,,,,
2011-06-02,517,145,17,,,,,,
2011-06-03,518,145,17,,,,,,
2011-06-04,519,145,17,,,,,,
2011-06-05,520,145,17,,,,,,
2011-06-06,521,144,17,,,,,,
2011-06-07,522,144,16,,,,,,
2011-06-08,523,144,16,,,,,,
2011-06-09,524,144,16,,,,,,
2011-06-10,525,145,16,,,,,,
2011-06-11,526,145,16,,,,,,
2011-06-12,527,145,16,,,,,,
2011-06-13,528,145,16,,,,,,
2011-06-14,529,145,16,,,,,,
2011-06-15,530,146,16,,,,,,
2011-06-16,531,147,16,,,,,,
2011-06-17,532,147,16,,,,,,
2011-06-18,533,148,16,,,,,,
2011-06-19,534,148,16,,,,,,
2011-06-20,535,149,16,,,,,,
2011-06-21,536,152,16,,,,,,
