,day_counter,0,1,2,3,4,5,6
2011-02-04,399,80,2,,,,,
2011-02-05,400,79,2,,,,,
2011-02-06,401,79,2,,,,,
2011-02-07,402,79,2,,,,,
2011-02-08,403,80,2,,,,,
2011-02-09,404,80,2,,,,,
2011-02-10,405,80,2,,,,,
2011-02-11,406,80,2,,,,,
2011-02-12,407,81,2,,,,,
2011-02-13,408,82,2,,,,,
2011-02-14,409,82,2,,,,,
2011-02-15,410,82,2,,,,,
2011-02-16,411,82,2,,,,,
2011-02-17,412,83,2,,,,,
2011-02-18,413,83,2,,,,,
2011-02-19,414,84,2,,,,,
2011-02-20,415,84,2,,,,,
2011-02-21,416,84,2,,,,,
2011-02-22,417,83,2,,,,,
2011-02-23,418,83,2,,,,,
2011-02-24,419,85,2,,,,,
2011-02-25,420,85,2,,,,,
2011-02-26,421,86,2,,,,,
2011-02-27,422,86,2,,,,,
2011-02-28,423,86,2,,,,,
2011-03-01,424,86,2,,,,,
2011-03-02,425,86,2,,,,,
2011-03-03,426,86,2,,,,,
2011-03-04,427,89,2,,,,,
2011-03-05,428,89,2,,,,,
2011-03-06,429,91,2,,,,,
2011-03-07,430,91,2,,,,,
2011-03-08,431,91,2,,,,,
2011-03-09,432,90,2,,,,,
2011-03-10,433,89,2,,,,,
2011-03-11,434,88,2,,,,,
2011-03-12,435,89,2,,,,,
2011-03-13,436,89,2,,,,,
2011-03-14,437,90,2,,,,,
2011-03-15,438,90,2,,,,,
2011-03-16,439,89,2,,,,,
2011-03-17,440,89,2,,,,,
2011-03-18,441,88,2,,,,,
2011-03-19,442,88,2,,,,,
2011-03-20,443,88,2,,,,,
2011-03-21,444,87,2,,,,,
2011-03-22,445,87,2,,,,,
2011-03-23,446,86,2,,,,,
2011-03-24,447,87,2,,,,,
2011-03-25,448,87,2,,,,,
2011-03-26,449,87,2,,,,,
2011-03-27,450,88,2,,,,,
2011-03-28,451,87,2,,,,,
2011-03-29,452,88,2,,,,,
2011-03-30,453,90,2,,,,,
2011-03-31,454,91,2,,,,,
2011-04-01,455,91,2,,,,,
2011-04-02,456,91,2,,,,,
2011-04-03,457,91,2,,,,,
2011-04-04,458,91,2,,,,,
2011-04-05,459,91,2,,,,,
2011-04-06,460,90,2,,,,,
2011-04-07,461,90,2,,,,,
2011-04-08,462,90,2,,,,,
2011-04-09,463,90,2,,,,,
2011-04-10,464,89,2,,,,,
2011-04-11,465,90,2,,,,,
2011-04-12,466,91,2,,,,,
2011-04-13,467,91,2,,,,,
2011-04-14,468,91,2,,,,,
2011-04-15,469,91,2,,,,,
2011-04-16,470,91,2,,,,,
2011-04-17,471,91,2,,,,,
2011-04-18,472,91,2,,,,,
2011-04-19,473,91,2,,,,,
2011-04-20,474,91,2,,,,,
2011-04-21,475,91,2,,,,,
2011-04-22,476,91,2,,,,,
2011-04-23,477,91,2,,,,,
2011-04-24,478,91,2,,,,,
2011-04-25,479,89,4,,,,,
2011-04-26,480,89,4,,,,,
2011-04-27,481,87,6,,,,,
2011-04-28,482,88,6,,,,,
2011-04-29,483,90,6,,,,,
2011-04-30,484,90,6,,,,,
2011-05-01,485,90,6,,,,,
2011-05-02,486,90,6,,,,,
2011-05-03,487,91,6,,,,,
2011-05-04,488,92,6,,,,,
2011-05-05,489,94,6,,,,,
2011-05-06,490,95,6,,,,,
2011-05-07,491,97,6,,,,,
2011-05-08,492,97,6,,,,,
2011-05-09,493,95,6,,,,,
2011-05-10,494,96,6,,,,,
2011-05-11,495,100,6,,,,,
2011-05-12,496,100,6,,,,,
2011-05-13,497,100,6,,,,,
2011-05-14,498,99,6,,,,,
2011-05-15,499,99,6,,,,,
2011-05-16,500,100,6,,,,,
2011-05-17,501,99,6,,,,,
2011-05-18,502,98,6,,,,,
2011-05-19,503,98,6,,,,,
2011-05-20,504,98,6,,,,,
2011-05-21,505,98,6,,,,,
2011-05-22,506,99,6,,,,,
2011-05-23,507,99,6,,,,,
2011-05-24,508,101,6,,,,,
2011-05-25,509,101,6,,,,,
2011-05-26,510,101,6,,,,,
2011-05-27,511,101,6,,,,,
2011-05-28,512,101,6,,,,,
2011-05-29,513,101,6,,,,,
2011-05-30,514,102,6,,,,,
2011-05-31,515,102,6,,,,,
2011-06-01,516,102,6,,,,,
2011-06-02,517,100,6,,,,,
2011-06-03,518,98,6,,,,,
2011-06-04,519,98,6,,,,,
2011-06-05,520,98,6,,,,,
2011-06-06,521,96,6,,,,,
2011-06-07,522,97,6,,,,,
2011-06-08,523,97,6,,,,,
2011-06-09,524,98,6,,,,,
2011-06-10,525,99,6,,,,,
2011-06-11,526,99,6,,,,,
2011-06-12,527,99,6,,,,,
2011-06-13,528,99,6,,,,,
2011-06-14,529,99,6,,,,,
2011-06-15,530,100,6,,,,,
2011-06-16,531,101,6,,,,,
2011-06-17,532,101,6,,,,,
2011-06-18,533,102,6,,,,,
2011-06-19,534,102,6,,,,,
2011-06-20,535,102,6,,,,,
2011-06-21,536,104,6,,,,,
2011-06-22,537,104,6,,,,,
2011-06-23,538,104,6,,,,,
2011-06-24,539,104,6,,,,,
2011-06-25,540,103,6,,,,,
2011-06-26,541,103,6,,,,,
2011-06-27,542,103,6,,,,,
2011-06-28,543,103,6,,,,,
2011-06-29,544,103,6,,,,,
2011-06-30,545,102,6,,,,,
2011-07-01,546,102,6,,,,,
2011-07-02,547,102,6,,,,,
2011-07-03,548,102,6,,,,,
2011-07-04,549,102,6,,,,,
2011-07-05,550,102,6,,,,,
2011-07-06,551,101,6,,,,,
2011-07-07,552,101,6,,,,,
2011-07-08,553,101,6,,,,,
2011-07-09,554,101,6,,,,,
2011-07-10,555,101,6,,,,,
2011-07-11,556,101,6,,,,,
2011-07-12,557,101,4,,,,,
2011-07-13,558,101,4,,,,,
2011-07-14,559,101,4,,,,,
2011-07-15,560,102,4,,,,,
2011-07-16,561,104,4,,,,,
2011-07-17,562,104,4,,,,,
2011-07-18,563,104,4,,,,,
2011-07-19,564,106,4,,,,,
2011-07-20,565,106,4,,,,,
2011-07-21,566,106,4,,,,,
2011-07-22,567,106,4,,,,,
2011-07-23,568,106,4,,,,,
2011-07-24,569,107,4,,,,,
2011-07-25,570,108,4,,,,,
2011-07-26,571,108,4,,,,,
2011-07-27,572,108,4,,,,,
2011-07-28,573,108,4,,,,,
2011-07-29,574,108,4,,,,,
2011-07-30,575,108,4,,,,,
2011-07-31,576,108,4,,,,,
2011-08-01,577,108,4,,,,,
2011-08-02,578,108,4,,,,,
2011-08-03,579,107,4,,,,,
2011-08-04,580,107,4,,,,,
2011-08-05,581,107,4,,,,,
2011-08-06,582,107,4,,,,,
2011-08-07,583,107,4,,,,,
2011-08-08,584,107,4,,,,,
2011-08-09,585,107,4,,,,,
2011-08-10,586,107,4,,,,,
2011-08-11,587,107,4,,,,,
