,day_counter,0,1,2,3,4,5,6,7
2010-11-05,308,84,7,,,,,,
2010-11-06,309,82,8,,,,,,
2010-11-07,310,82,8,,,,,,
2010-11-08,311,82,8,,,,,,
2010-11-09,312,82,8,,,,,,
2010-11-10,313,83,8,,,,,,
2010-11-11,314,85,8,,,,,,
2010-11-12,315,85,8,,,,,,
2010-11-13,316,85,8,,,,,,
2010-11-14,317,85,8,,,,,,
2010-11-15,318,86,8,,,,,,
2010-11-16,319,87,8,,,,,,
2010-11-17,320,88,7,,,,,,
2010-11-18,321,88,7,,,,,,
2010-11-19,322,88,7,,,,,,
2010-11-20,323,88,7,,,,,,
2010-11-21,324,88,7,,,,,,
2010-11-22,325,87,7,,,,,,
2010-11-23,326,88,7,,,,,,
2010-11-24,327,88,7,,,,,,
2010-11-25,328,88,7,,,,,,
2010-11-26,329,88,7,,,,,,
2010-11-27,330,88,7,,,,,,
2010-11-28,331,86,7,,,,,,
2010-11-29,332,86,7,,,,,,
2010-11-30,333,89,7,,,,,,
2010-12-01,334,89,7,,,,,,
2010-12-02,335,89,7,,,,,,
2010-12-03,336,89,7,,,,,,
2010-12-04,337,89,7,,,,,,
2010-12-05,338,88,9,,,,,,
2010-12-06,339,88,9,,,,,,
2010-12-07,340,88,9,,,,,,
2010-12-08,341,88,9,,,,,,
2010-12-09,342,88,9,,,,,,
2010-12-10,343,88,9,,,,,,
2010-12-11,344,88,9,,,,,,
2010-12-12,345,88,9,,,,,,
2010-12-13,346,88,9,,,,,,
2010-12-14,347,88,9,,,,,,
2010-12-15,348,89,9,,,,,,
2010-12-16,349,89,9,,,,,,
2010-12-17,350,90,9,,,,,,
2010-12-18,351,90,9,,,,,,
2010-12-19,352,90,9,,,,,,
2010-12-20,353,89,9,,,,,,
2010-12-21,354,89,9,,,,,,
2010-12-22,355,89,9,,,,,,
2010-12-23,356,89,9,,,,,,
2010-12-24,357,86,9,,,,,,
2010-12-25,358,85,9,,,,,,
2010-12-26,359,86,9,,,,,,
2010-12-27,360,87,9,,,,,,
2010-12-28,361,88,9,,,,,,
2010-12-29,362,88,9,,,,,,
2010-12-30,363,89,9,,,,,,
2010-12-31,364,89,9,,,,,,
2011-01-01,365,89,9,,,,,,
2011-01-02,366,88,9,,,,,,
2011-01-03,367,90,9,,,,,,
2011-01-04,368,91,9,,,,,,
2011-01-05,369,92,9,,,,,,
2011-01-06,370,93,9,,,,,,
2011-01-07,371,93,9,,,,,,
2011-01-08,372,94,9,,,,,,
2011-01-09,373,94,9,,,,,,
2011-01-10,374,92,9,,,,,,
2011-01-11,375,91,9,,,,,,
2011-01-12,376,92,9,,,,,,
2011-01-13,377,93,9,,,,,,
2011-01-14,378,94,9,,,,,,
2011-01-15,379,94,9,,,,,,
2011-01-16,380,94,9,,,,,,
2011-01-17,381,94,9,,,,,,
2011-01-18,382,94,9,,,,,,
2011-01-19,383,93,9,,,,,,
2011-01-20,384,93,9,,,,,,
2011-01-21,385,93,9,,,,,,
2011-01-22,386,92,9,,,,,,
2011-01-23,387,92,9,,,,,,
2011-01-24,388,92,9,,,,,,
2011-01-25,389,92,9,,,,,,
2011-01-26,390,90,9,,,,,,
2011-01-27,391,89,11,,,,,,
2011-01-28,392,90,11,,,,,,
2011-01-29,393,90,11,,,,,,
2011-01-30,394,90,11,,,,,,
2011-01-31,395,91,11,,,,,,
2011-02-01,396,92,11,,,,,,
2011-02-02,397,94,11,,,,,,
2011-02-03,398,94,11,,,,,,
2011-02-04,399,95,11,,,,,,
2011-02-05,400,95,11,,,,,,
2011-02-06,401,95,11,,,,,,
2011-02-07,402,95,11,,,,,,
2011-02-08,403,95,11,,,,,,
2011-02-09,404,94,11,,,,,,
2011-02-10,405,94,11,,,,,,
2011-02-11,406,94,11,,,,,,
2011-02-12,407,93,11,,,,,,
2011-02-13,408,94,11,,,,,,
2011-02-14,409,94,11,,,,,,
2011-02-15,410,94,11,,,,,,
2011-02-16,411,95,11,,,,,,
2011-02-17,412,96,11,,,,,,
2011-02-18,413,96,11,,,,,,
2011-02-19,414,96,11,,,,,,
2011-02-20,415,96,11,,,,,,
2011-02-21,416,96,11,,,,,,
2011-02-22,417,97,11,,,,,,
2011-02-23,418,98,11,,,,,,
2011-02-24,419,100,11,,,,,,
2011-02-25,420,99,11,,,,,,
2011-02-26,421,100,11,,,,,,
2011-02-27,422,100,11,,,,,,
2011-02-28,423,100,11,,,,,,
2011-03-01,424,98,11,,,,,,
2011-03-02,425,96,11,,,,,,
2011-03-03,426,96,11,,,,,,
2011-03-04,427,96,12,,,,,,
2011-03-05,428,96,12,,,,,,
2011-03-06,429,97,12,,,,,,
2011-03-07,430,97,12,,,,,,
2011-03-08,431,97,12,,,,,,
2011-03-09,432,99,10,,,,,,
2011-03-10,433,99,10,,,,,,
2011-03-11,434,99,10,,,,,,
2011-03-12,435,100,10,,,,,,
2011-03-13,436,100,10,,,,,,
2011-03-14,437,102,10,,,,,,
2011-03-15,438,102,10,,,,,,
2011-03-16,439,100,11,,,,,,
2011-03-17,440,100,11,,,,,,
2011-03-18,441,101,10,,,,,,
2011-03-19,442,101,10,,,,,,
2011-03-20,443,101,10,,,,,,
2011-03-21,444,100,10,,,,,,
2011-03-22,445,100,10,,,,,,
2011-03-23,446,98,10,,,,,,
2011-03-24,447,100,10,,,,,,
2011-03-25,448,100,10,,,,,,
2011-03-26,449,101,10,,,,,,
2011-03-27,450,103,10,,,,,,
2011-03-28,451,102,10,,,,,,
2011-03-29,452,104,10,,,,,,
2011-03-30,453,106,10,,,,,,
2011-03-31,454,107,10,,,,,,
2011-04-01,455,107,10,,,,,,
2011-04-02,456,107,10,,,,,,
2011-04-03,457,106,10,,,,,,
2011-04-04,458,106,10,,,,,,
2011-04-05,459,107,10,,,,,,
2011-04-06,460,108,10,,,,,,
2011-04-07,461,108,10,,,,,,
2011-04-08,462,108,10,,,,,,
2011-04-09,463,108,10,,,,,,
2011-04-10,464,106,10,,,,,,
2011-04-11,465,106,10,,,,,,
2011-04-12,466,105,10,,,,,,
2011-04-13,467,105,10,,,,,,
2011-04-14,468,105,10,,,,,,
2011-04-15,469,105,10,,,,,,
2011-04-16,470,105,10,,,,,,
2011-04-17,471,105,10,,,,,,
2011-04-18,472,105,10,,,,,,
2011-04-19,473,105,10,,,,,,
2011-04-20,474,105,10,,,,,,
2011-04-21,475,105,10,,,,,,
2011-04-22,476,105,10,,,,,,
2011-04-23,477,105,10,,,,,,
2011-04-24,478,105,10,,,,,,
2011-04-25,479,104,12,,,,,,
2011-04-26,480,104,12,,,,,,
2011-04-27,481,102,14,,,,,,
2011-04-28,482,103,14,,,,,,
2011-04-29,483,105,14,,,,,,
2011-04-30,484,105,14,,,,,,
2011-05-01,485,105,14,,,,,,
2011-05-02,486,106,14,,,,,,
2011-05-03,487,107,14,,,,,,
2011-05-04,488,106,14,,,,,,
2011-05-05,489,108,14,,,,,,
2011-05-06,490,108,14,,,,,,
2011-05-07,491,108,14,,,,,,
2011-05-08,492,108,14,,,,,,
2011-05-09,493,108,14,,,,,,
2011-05-10,494,110,14,,,,,,
2011-05-11,495,114,14,,,,,,
2011-05-12,496,113,14,,,,,,
2011-05-13,497,113,14,,,,,,
2011-05-14,498,112,14,,,,,,
2011-05-15,499,112,14,,,,,,
2011-05-16,500,113,14,,,,,,
2011-05-17,501,112,13,,,,,,
2011-05-18,502,111,13,,,,,,
2011-05-19,503,111,13,,,,,,
2011-05-20,504,108,15,,,,,,
2011-05-21,505,108,15,,,,,,
2011-05-22,506,109,15,,,,,,
2011-05-23,507,107,16,,,,,,
2011-05-24,508,108,17,,,,,,
2011-05-25,509,108,17,,,,,,
2011-05-26,510,108,17,,,,,,
2011-05-27,511,108,17,,,,,,
2011-05-28,512,108,17,,,,,,
2011-05-29,513,108,17,,,,,,
2011-05-30,514,109,17,,,,,,
2011-05-31,515,108,17,,,,,,
2011-06-01,516,108,17,,,,,,
2011-06-02,517,106,18,,,,,,
2011-06-03,518,105,18,,,,,,
2011-06-04,519,105,18,,,,,,
2011-06-05,520,105,18,,,,,,
2011-06-06,521,104,18,,,,,,
2011-06-07,522,105,18,,,,,,
