,day_counter,0,1,2,3,4,5
2011-09-21,82,26,4,,,,
2011-09-22,83,26,4,,,,
2011-09-23,84,27,4,,,,
2011-09-24,85,27,4,,,,
2011-09-25,86,27,4,,,,
2011-09-26,87,27,4,,,,
2011-09-27,88,28,4,,,,
2011-09-28,89,28,4,,,,
2011-09-29,90,28,4,,,,
2011-09-30,91,29,4,,,,
2011-10-01,,,,,,,
2011-10-02,,,,,,,
2011-10-03,,,,,,,
2011-10-04,,,,,,,
2011-10-05,,,,,,,
2011-10-06,,,,,,,
2011-10-07,,,,,,,
2011-10-08,,,,,,,
2011-10-09,,,,,,,
2011-10-10,,,,,,,
2011-10-11,,,,,,,
2011-10-12,,,,,,,
2011-10-13,,,,,,,
2011-10-14,,,,,,,
2011-10-15,,,,,,,
2011-10-16,,,,,,,
2011-10-17,,,,,,,
2011-10-18,,,,,,,
2011-10-19,,,,,,,
2011-10-20,,,,,,,
2011-10-21,20,1,,,,,
2011-10-22,21,1,,,,,
2011-10-23,22,1,,,,,
2011-10-24,23,1,,,,,
2011-10-25,24,1,,,,,
2011-10-26,25,1,,,,,
2011-10-27,26,1,,,,,
2011-10-28,27,1,,,,,
2011-10-29,28,1,,,,,
2011-10-30,29,1,,,,,
2011-10-31,30,1,,,,,
2011-11-01,31,2,,,,,
2011-11-02,32,2,,,,,
2011-11-03,33,2,,,,,
2011-11-04,34,3,,,,,
2011-11-05,35,3,,,,,
2011-11-06,36,3,,,,,
2011-11-07,37,4,,,,,
2011-11-08,38,4,,,,,
2011-11-09,39,5,,,,,
2011-11-10,40,5,,,,,
2011-11-11,41,5,,,,,
2011-11-12,42,5,,,,,
2011-11-13,43,5,,,,,
2011-11-14,44,7,,,,,
2011-11-15,45,7,,,,,
2011-11-16,46,9,,,,,
2011-11-17,47,9,,,,,
2011-11-18,48,9,,,,,
2011-11-19,49,9,,,,,
2011-11-20,50,9,,,,,
2011-11-21,51,9,,,,,
2011-11-22,52,10,,,,,
2011-11-23,53,9,,,,,
2011-11-24,54,9,,,,,
2011-11-25,55,9,,,,,
2011-11-26,56,9,,,,,
2011-11-27,57,9,,,,,
2011-11-28,58,10,,,,,
2011-11-29,59,10,,,,,
2011-11-30,60,9,,,,,
2011-12-01,61,8,,,,,
2011-12-02,62,8,,,,,
2011-12-03,63,8,,,,,
2011-12-04,64,9,,,,,
2011-12-05,65,10,,,,,
2011-12-06,66,10,,,,,
2011-12-07,67,12,,,,,
2011-12-08,68,12,,,,,
2011-12-09,69,15,,,,,
2011-12-10,70,16,,,,,
2011-12-11,71,17,,,,,
2011-12-12,72,19,,,,,
2011-12-13,73,19,,,,,
2011-12-14,74,19,,,,,
2011-12-15,75,19,,,,,
2011-12-16,76,18,,,,,
2011-12-17,77,18,,,,,
2011-12-18,78,19,,,,,
2011-12-19,79,19,,,,,
2011-12-20,80,21,,,,,
2011-12-21,81,22,,,,,
2011-12-22,82,22,,,,,
2011-12-23,83,21,,,,,
2011-12-24,84,21,,,,,
2011-12-25,85,22,,,,,
2011-12-26,86,22,,,,,
2011-12-27,87,22,,,,,
2011-12-28,88,22,,,,,
2011-12-29,89,22,,,,,
2011-12-30,90,22,,,,,
2011-12-31,91,22,,,,,
2012-01-01,,,,,,,
2012-01-02,,,,,,,
2012-01-03,,,,,,,
2012-01-04,,,,,,,
2012-01-05,,,,,,,
2012-01-06,,,,,,,
2012-01-07,,,,,,,
2012-01-08,,,,,,,
2012-01-09,,,,,,,
2012-01-10,9,1,,,,,
2012-01-11,10,1,,,,,
2012-01-12,11,1,,,,,
2012-01-13,12,1,,,,,
2012-01-14,13,1,,,,,
2012-01-15,14,1,,,,,
2012-01-16,15,1,,,,,
2012-01-17,16,1,,,,,
2012-01-18,17,1,,,,,
2012-01-19,18,2,,,,,
2012-01-20,19,2,,,,,
2012-01-21,20,2,,,,,
2012-01-22,21,2,,,,,
2012-01-23,22,2,,,,,
